cited_doi,pub_year,cited_year,n,nobel_author,nobel_year,time_after_publish
10.1103/PhysRev.131.2766,1963,1971,13,RoyJGlauber,2005,-34
10.1103/PhysRev.131.2766,1963,1972,5,RoyJGlauber,2005,-33
10.1103/PhysRev.131.2766,1963,1973,12,RoyJGlauber,2005,-32
10.1103/PhysRev.131.2766,1963,1974,12,RoyJGlauber,2005,-31
10.1103/PhysRev.131.2766,1963,1975,16,RoyJGlauber,2005,-30
10.1103/PhysRev.131.2766,1963,1976,13,RoyJGlauber,2005,-29
10.1103/PhysRev.131.2766,1963,1977,10,RoyJGlauber,2005,-28
10.1103/PhysRev.131.2766,1963,1978,16,RoyJGlauber,2005,-27
10.1103/PhysRev.131.2766,1963,1979,17,RoyJGlauber,2005,-26
10.1103/PhysRev.131.2766,1963,1980,10,RoyJGlauber,2005,-25
10.1103/PhysRev.131.2766,1963,1981,18,RoyJGlauber,2005,-24
10.1103/PhysRev.131.2766,1963,1982,20,RoyJGlauber,2005,-23
10.1103/PhysRev.131.2766,1963,1983,14,RoyJGlauber,2005,-22
10.1103/PhysRev.131.2766,1963,1984,13,RoyJGlauber,2005,-21
10.1103/PhysRev.131.2766,1963,1985,15,RoyJGlauber,2005,-20
10.1103/PhysRev.131.2766,1963,1986,27,RoyJGlauber,2005,-19
10.1103/PhysRev.131.2766,1963,1987,23,RoyJGlauber,2005,-18
10.1103/PhysRev.131.2766,1963,1988,27,RoyJGlauber,2005,-17
10.1103/PhysRev.131.2766,1963,1989,31,RoyJGlauber,2005,-16
10.1103/PhysRev.131.2766,1963,1990,37,RoyJGlauber,2005,-15
10.1103/PhysRev.131.2766,1963,1991,30,RoyJGlauber,2005,-14
10.1103/PhysRev.131.2766,1963,1992,32,RoyJGlauber,2005,-13
10.1103/PhysRev.131.2766,1963,1993,34,RoyJGlauber,2005,-12
10.1103/PhysRev.131.2766,1963,1994,34,RoyJGlauber,2005,-11
10.1103/PhysRev.131.2766,1963,1995,25,RoyJGlauber,2005,-10
10.1103/PhysRev.131.2766,1963,1996,19,RoyJGlauber,2005,-9
10.1103/PhysRev.131.2766,1963,1997,18,RoyJGlauber,2005,-8
10.1103/PhysRev.131.2766,1963,1998,12,RoyJGlauber,2005,-7
10.1103/PhysRev.131.2766,1963,1999,19,RoyJGlauber,2005,-6
10.1103/PhysRev.131.2766,1963,2000,13,RoyJGlauber,2005,-5
10.1103/PhysRev.131.2766,1963,2001,14,RoyJGlauber,2005,-4
10.1103/PhysRev.131.2766,1963,2002,17,RoyJGlauber,2005,-3
10.1103/PhysRev.131.2766,1963,2003,15,RoyJGlauber,2005,-2
10.1103/PhysRev.131.2766,1963,2004,12,RoyJGlauber,2005,-1
10.1103/PhysRev.131.2766,1963,2005,25,RoyJGlauber,2005,0
10.1103/PhysRev.131.2766,1963,2006,15,RoyJGlauber,2005,1
10.1103/PhysRev.131.2766,1963,2007,19,RoyJGlauber,2005,2
10.1103/PhysRev.131.2766,1963,2008,29,RoyJGlauber,2005,3
10.1103/PhysRev.131.2766,1963,2009,28,RoyJGlauber,2005,4
10.1103/PhysRev.131.2766,1963,2010,36,RoyJGlauber,2005,5
10.1103/PhysRev.131.2766,1963,2011,37,RoyJGlauber,2005,6
10.1103/PhysRev.131.2766,1963,2012,32,RoyJGlauber,2005,7
10.1103/PhysRev.131.2766,1963,2013,42,RoyJGlauber,2005,8
10.1103/PhysRev.131.2766,1963,2014,38,RoyJGlauber,2005,9
10.1103/PhysRev.131.2766,1963,2015,39,RoyJGlauber,2005,10
10.1103/PhysRev.131.2766,1963,2016,45,RoyJGlauber,2005,11
10.1103/PhysRev.131.2766,1963,2017,49,RoyJGlauber,2005,12
10.1103/PhysRev.131.2766,1963,2018,45,RoyJGlauber,2005,13
10.1103/PhysRev.131.2766,1963,2019,43,RoyJGlauber,2005,14
10.1103/PhysRev.131.2766,1963,NA,5,RoyJGlauber,2005,NA
10.1103/PhysRev.138.A1326,1965,1966,2,RobertCRichardson,1996,-30
10.1103/PhysRev.138.A1326,1965,1967,5,RobertCRichardson,1996,-29
10.1103/PhysRev.138.A1326,1965,1968,7,RobertCRichardson,1996,-28
10.1103/PhysRev.138.A1326,1965,1969,8,RobertCRichardson,1996,-27
10.1103/PhysRev.138.A1326,1965,1970,3,RobertCRichardson,1996,-26
10.1103/PhysRev.138.A1326,1965,1971,4,RobertCRichardson,1996,-25
10.1103/PhysRev.138.A1326,1965,1972,1,RobertCRichardson,1996,-24
10.1103/PhysRev.138.A1326,1965,1973,2,RobertCRichardson,1996,-23
10.1103/PhysRev.138.A1326,1965,1975,1,RobertCRichardson,1996,-21
10.1103/PhysRev.138.A1326,1965,1976,1,RobertCRichardson,1996,-20
10.1103/PhysRev.138.A1326,1965,1977,2,RobertCRichardson,1996,-19
10.1103/PhysRev.138.A1326,1965,1979,1,RobertCRichardson,1996,-17
10.1103/PhysRev.138.A1326,1965,1991,1,RobertCRichardson,1996,-5
10.1103/PhysRev.138.A1326,1965,1997,1,RobertCRichardson,1996,1
10.1103/PhysRev.138.A1326,1965,2003,1,RobertCRichardson,1996,7
10.1103/PhysRev.138.A1326,1965,NA,1,RobertCRichardson,1996,NA
10.1103/PhysRevA.5.968,1972,1972,1,ClaudeCohenTannoudji,1997,-25
10.1103/PhysRevA.5.968,1972,1976,1,ClaudeCohenTannoudji,1997,-21
10.1103/PhysRevA.5.968,1972,1979,1,ClaudeCohenTannoudji,1997,-18
10.1103/PhysRevA.5.968,1972,1981,1,ClaudeCohenTannoudji,1997,-16
10.1103/PhysRevA.5.968,1972,1987,1,ClaudeCohenTannoudji,1997,-10
10.1103/PhysRevA.5.968,1972,1990,2,ClaudeCohenTannoudji,1997,-7
10.1103/PhysRevA.5.968,1972,1991,2,ClaudeCohenTannoudji,1997,-6
10.1103/PhysRevA.5.968,1972,1992,4,ClaudeCohenTannoudji,1997,-5
10.1103/PhysRevA.5.968,1972,1993,1,ClaudeCohenTannoudji,1997,-4
10.1103/PhysRevA.5.968,1972,1994,1,ClaudeCohenTannoudji,1997,-3
10.1103/PhysRevA.5.968,1972,1996,1,ClaudeCohenTannoudji,1997,-1
10.1103/PhysRevA.5.968,1972,1998,2,ClaudeCohenTannoudji,1997,1
10.1103/PhysRevA.5.968,1972,1999,1,ClaudeCohenTannoudji,1997,2
10.1103/PhysRevA.5.968,1972,2000,1,ClaudeCohenTannoudji,1997,3
10.1103/PhysRevA.5.968,1972,2001,2,ClaudeCohenTannoudji,1997,4
10.1103/PhysRevA.5.968,1972,2002,3,ClaudeCohenTannoudji,1997,5
